,ident,com,nplanets,massbudget,massefficiency,sigmag0,md,rc,ms,metal,taugas,qest,ngi,mtr,apert
107,426.0,0.9401776192055048,1.0,2.5652253650590437,0.00011660115295722924,53.67109780036642,0.058385593414306644,41.70955276489258,0.8846302032470703,0.024511037394404408,5719741.5,7.8200788497924805,0.0,2.5652253650590437,0.10000000149011612
108,436.0,2.349520557851797,7.0,3.5590470800346035,8.897617700086509e-05,105.20970174963293,0.16120079040527346,40.16950988769531,1.3433399200439455,-0.08410441875457764,1073882.875,6.314268112182617,0.0,3.5590470800346035,0.10000000149011612
109,438.0,2.576800145410526,1.0,1.8146058773912088,9.721102914595762e-05,56.83162398302321,0.07090825843811036,37.33642959594727,1.2662189006805422,-0.11051544547080994,8900235.0,12.863525390625,0.0,1.8146058773912088,0.10000000149011612
110,445.0,1.1333421275674034,1.0,923.3572615360839,0.017312948653801574,136.03314720235377,0.13954999923706057,40.791664123535156,0.8721874952316285,-0.03361805155873298,3122738.25,3.1834630966186523,1.0,0.0,0.10000000149011612
111,447.0,1.5774185707037216,7.0,1.5011061967634567,5.559652580605395e-05,59.85273197087246,0.08153842556476593,43.75566864013672,1.0066472291946411,-0.27957868576049805,1953193.75,7.324169635772706,0.0,1.5011061967634567,0.10000000149011612
112,458.0,1.5977283000025349,6.0,4.087434913661392,0.00020783567357600296,55.0614192993222,0.06420587325096132,38.93463516235352,1.088235139846802,0.029805643483996395,1561057.75,10.52591037750244,0.0,4.087434913661392,0.10000000149011612
113,465.0,1.7863257045020242,1.0,4.242272992492906,7.954261860924199e-05,157.66815730620397,0.18308198928833,37.88975524902344,1.1442624330520625,-0.2766298353672028,6412399.0,4.209575653076172,0.0,4.242272992492906,0.10000000149011612
114,466.0,1.82953747448813,15.0,1.4863832414851752,8.25768467491764e-05,39.70941664439068,0.06450290822982789,43.86154556274415,1.1944983005523682,0.004418198484927416,1931331.25,13.194414138793945,0.0,1.4863832414851752,0.10000000149011612
115,478.0,1.4190788277565154,1.0,2.637374495897653,7.192839534266326e-05,86.49915812812536,0.1380124044418335,42.41546249389648,1.2546582221984863,-0.03191107884049416,1547237.125,6.9879536628723145,0.0,2.637374495897653,0.10000000149011612
116,480.0,3.1806573309036046,1.0,0.9171418534888558,3.482817165147554e-05,52.24700638227911,0.10897030329704285,46.25052261352539,1.379370927810669,-0.4072881340980529,9568847.0,10.544314384460447,0.0,0.9171418534888558,0.10000000149011612
117,481.0,0.9008771054840596,1.0,1.0284368492195888,9.641595461433645e-05,27.754006142122826,0.029852043151855474,40.38740539550781,0.9328763484954835,0.017115145921707153,8105471.0,16.848289489746097,0.0,1.0284368492195888,0.10000000149011612
118,482.0,1.7850711467722877,1.0,2.7861695685704766,0.00024583849134445385,23.306998881897076,0.04067516160011292,45.42867660522461,1.1963282823562622,0.2588008940219879,6085377.0,21.05753517150879,0.0,2.7861695685704766,0.10000000149011612
119,483.0,0.464127303453686,1.0,2.663367982495089,0.00017000221164862272,41.31577545993017,0.0369645072221756,40.116661071777344,0.7864788770675659,-0.18454867601394653,7816260.5,9.644672393798828,0.0,2.663367982495089,0.10000000149011612
120,489.0,0.8721127511855954,1.0,1.1889197678957453,4.885971648886626e-05,40.26682068399197,0.05372705155611037,50.64324951171875,0.7359870076179504,0.07900455594062805,1861683.25,6.153797149658202,0.0,1.1889197678957453,0.10000000149011612
121,496.0,0.7052437308713629,1.0,2.324512082360638,0.00011819552961155787,50.729267703968745,0.04854780822992325,40.56304168701172,0.8228442072868347,-0.059523224830627434,4730213.0,8.070425033569336,0.0,2.324512082360638,0.10000000149011612
122,498.0,1.7399094111641153,13.0,1.058005274252559,5.290026371262795e-05,22.53963640780653,0.06790710926055908,61.36715316772461,1.1317851543426514,0.09561826288700104,1043688.5,12.06131649017334,0.0,1.058005274252559,0.10000000149011612
123,500.0,0.8084788187320449,1.0,0.6382008477389667,3.191004238694833e-05,32.86233579032853,0.043902844190597534,50.82299041748047,0.7317140698432922,-0.17145155370235446,1782116.875,7.437217712402343,0.0,0.6382008477389667,0.10000000149011612
124,520.0,1.4882868679696877,1.0,125.10453913343552,0.00426492747045803,114.867258201306,0.10384192562103273,32.92130279541016,1.1800218820571904,0.056131411343812936,1406000.875,7.371981620788574,1.0,0.0,0.10000000149011612
125,524.0,1.3928856399016178,1.0,1.9574771726083626,7.829908690433454e-05,80.4762561237452,0.07218952327966689,36.310359954833984,0.9625269770622256,-0.16115719079971313,3843813.75,7.230539321899414,0.0,1.9574771726083626,0.10000000149011612
126,525.0,0.5857619169375327,1.0,2.981795476396416,5.963590952792833e-05,113.21211579673323,0.11545667946338656,43.294525146484375,0.7697111964225771,-0.26387572288513184,5276036.5,3.0718815326690674,0.0,2.981795476396416,0.10000000149011612
127,529.0,2.5465326851173486,1.0,3.193256689984184,0.00013305236208267432,53.672286798109944,0.08998031902313233,43.563724517822266,1.24972665309906,0.05990337207913399,2721496.25,10.218152046203613,0.0,3.193256689984184,0.10000000149011612
128,534.0,0.8981043603403548,2.0,5.778692172091624,0.0002587474106906697,41.532003671499346,0.05799430078268052,47.77269744873047,0.8655865788459779,0.2502436041831971,1282363.125,7.775408267974853,0.0,5.778692172091624,0.10000000149011612
129,538.0,0.9838545231915448,1.0,3.9523431069079056,0.0001718410046481698,88.0820459340308,0.0535969569683075,33.29006576538085,0.7767674922943115,0.11861469596624374,9787411.0,6.2012529373168945,0.0,3.9523431069079056,0.10000000149011612
130,549.0,1.1935614792907216,1.0,0.5523323200281071,1.7627627234939588e-05,55.31881224625738,0.0776163980960846,49.02993392944336,0.8257063627243042,-0.5206439495086671,1310592.375,5.324051380157472,0.0,0.5523323200281071,0.10000000149011612
131,550.0,1.8796625247835441,11.0,1.5969885948598408,7.370716591660803e-05,40.24489220084411,0.07720680177211758,47.8007926940918,1.1877969503402706,0.04317360743880272,1400591.875,11.078499794006348,0.0,1.5969885948598408,0.10000000149011612
132,555.0,1.0589638917732311,1.0,4.310457860522836,0.00017714210385710288,64.82807002504818,0.08567513787746425,39.91293716430664,1.1736320257186887,0.03414374589920044,7003600.5,9.244688034057617,0.0,4.310457860522836,0.10000000149011612
