,ident,com,nplanets,massbudget,massefficiency,sigmag0,md,rc,ms,metal,taugas,qest,ngi,mtr,apert
332,1443.0,1.0318669599598842,1.0,2.0499782911093933,0.00010249891455546968,53.54161863060708,0.05404919028282165,39.81655502319336,0.9008198380470276,-0.10449564456939696,3454616.75,8.666170120239258,0.0,2.0499782911093933,0.30000001192092896
333,1456.0,1.0405231333309446,2.0,3.241513891190551,8.103784727976378e-05,99.83988414256716,0.12367446899414064,41.2356071472168,1.030620574951172,-0.4659031629562378,4086705.0,5.049352169036865,0.0,3.241513891190551,0.30000001192092896
334,1460.0,2.9083284460198087,1.0,1.6447297150961306,5.363249070965643e-05,86.7519032915698,0.1256689562797546,38.7336311340332,1.3659669160842893,-0.33259886503219604,6324772.0,8.549119949340819,0.0,1.6447297150961306,0.30000001192092896
335,1474.0,1.4291092844840902,2.0,5.183648273169115,0.0001873607809579198,57.17798628410645,0.08397077631950381,45.31671524047852,1.0116961002349856,-0.09453584253787994,3070688.75,7.248498916625977,0.0,5.183648273169115,0.30000001192092896
336,1476.0,1.23167801262862,2.0,1.739497065178351,5.218491195535053e-05,40.14782898297079,0.09472480416297913,59.36121368408203,0.9472480416297913,-0.3880010247230529,1710453.375,6.0347900390625,0.0,1.739497065178351,0.30000001192092896
337,1480.0,1.9159954862137678,3.0,0.222219993283558,2.4691110364839776e-05,26.11082801248005,0.030601325869560245,38.247703552246094,1.1333824396133423,-0.11460060626268387,3686046.25,23.81855392456055,0.0,0.222219993283558,0.30000001192092896
338,1481.0,1.7049082885328442,1.0,41.96855578560384,0.001383578762162764,77.15338858979547,0.11182829046249387,40.84858322143555,1.228882312774658,0.17973914742469788,6717412.5,7.82752227783203,1.0,0.0,0.30000001192092896
339,1488.0,0.9759361178956693,1.0,3.553547511686597,8.200494257738302e-05,121.09377272357456,0.12985651135444645,38.97127151489258,0.9988962411880495,-0.2690618634223938,6365059.5,4.299702167510985,0.0,3.553547511686597,0.30000001192092896
340,1499.0,1.5979205259674365,10.0,1.2501123992018905,7.653749382868717e-05,29.628407834407806,0.05400135278701782,48.37017822265625,1.1020684242248535,0.22692908346652985,1178336.5,13.623910903930664,0.0,1.2501123992018905,0.30000001192092896
341,1501.0,0.9708562153324598,1.0,2.5333604106034904,6.909164756191337e-05,54.128135543729535,0.10360728383064269,53.61898803710938,0.9418843984603881,-0.3647007346153259,2131016.0,5.172815799713135,0.0,2.5333604106034904,0.30000001192092896
342,1508.0,1.0234389046710792,1.0,8.159425640367617,0.00017484483515073463,94.37293857299153,0.14680786609649663,45.81145477294922,1.0486276149749758,-0.18500562012195587,1662753.125,4.539222240447998,0.0,8.159425640367617,0.30000001192092896
343,1510.0,1.3840263952125462,1.0,0.07775126524407927,5.831344893305945e-06,22.747855352547326,0.03766664505004882,49.87622451782226,0.9416661262512205,-0.10176023095846176,3014411.5,14.378584861755373,0.0,0.07775126524407927,0.30000001192092896
344,1520.0,1.2846428513341936,5.0,1.3330785698600478,7.016202999263409e-05,50.46935106256829,0.05954186081886292,39.97213745117188,1.0445940494537354,0.032063715159893036,1747164.125,10.696393966674805,0.0,1.3330785698600478,0.30000001192092896
345,1522.0,2.0862774870425898,6.0,3.4878011687170045,0.00011014108953843172,47.70899535315974,0.1161792176961899,53.07566833496094,1.2229391336441042,-0.045594722032547004,1742836.375,7.989341735839843,0.0,3.4878011687170045,0.30000001192092896
346,1525.0,2.1312918174224467,3.0,5.588378285990297,0.00033530269715941776,62.38779936464506,0.062372934818267826,33.67200469970703,1.2474586963653564,0.16808813810348516,2511922.25,13.888277053833008,0.0,5.588378285990297,0.30000001192092896
347,1533.0,1.3010052492309654,3.0,0.3920608314077121,2.9404562355578406e-05,17.64021037086133,0.03784533977508545,56.63852310180664,0.9461334943771362,-0.02594720013439656,5256125.5,15.007194519042967,0.0,0.3920608314077121,0.30000001192092896
348,1537.0,0.9934724510345657,1.0,4.984551090577003,0.0002718846049405638,50.060137499794465,0.0457113254070282,39.424766540527344,0.8311150074005127,-0.06687477231025696,6904578.0,8.759208679199219,0.0,4.984551090577003,0.30000001192092896
349,1554.0,3.066404908812616,2.0,3.6500319876543528,0.00015642994232804367,53.713400638851134,0.09693145751953125,42.93796920776367,1.3847351074218748,-0.278861403465271,9510106.0,11.730006217956545,0.0,3.6500319876543528,0.30000001192092896
350,1555.0,1.6313668629175788,8.0,0.8263352135435608,4.958011281261365e-05,52.060165385386895,0.05932700037956239,36.86090850830078,1.1865400075912478,0.01671689935028553,1538941.75,13.543087005615234,0.0,0.8263352135435608,0.30000001192092896
351,1558.0,2.047777065682809,2.0,127.89693266671061,0.0031974233166677654,78.73815959079297,0.1515382719039917,46.43354034423828,1.2628189325332642,-0.004500061273574829,1146876.25,6.213327884674072,1.0,0.5729097655820155,0.30000001192092896
352,1559.0,2.044282686259228,10.0,0.994238346137168,3.389448907285801e-05,29.810521621096438,0.11028017807006836,64.62348175048828,1.2531838417053225,-0.050114564597606666,1795662.0,9.29062271118164,0.0,0.994238346137168,0.30000001192092896
353,1560.0,1.0165442699520446,1.0,4.9534417025001565,0.00013509386461364061,81.79816000244902,0.10431268572807312,43.61725997924805,0.9482971429824829,0.08420323580503462,7466040.0,5.09536361694336,0.0,4.9534417025001565,0.30000001192092896
354,1562.0,1.5935290181466688,3.0,0.21034543984541576,1.5024674274672552e-05,18.806555275802733,0.04707740092277528,56.20873641967773,1.1208904981613161,0.016205759719014168,1075309.625,16.754663467407227,0.0,0.21034543984541576,0.30000001192092896
355,1570.0,2.3955826494861627,1.0,2.274971657736604,0.00011007927376144858,38.349054616122736,0.07862231969833373,47.82470703125,1.2681019306182861,0.0962153747677803,5212538.0,12.482190132141113,0.0,2.274971657736604,0.30000001192092896
356,1577.0,2.121280265460836,2.0,0.18045096009014217,7.030556886628915e-06,82.0723853688229,0.08849381279945373,36.431800842285156,1.1492702960968018,-0.5072897672653198,1956172.0,8.467511177062987,0.0,0.18045096009014217,0.30000001192092896
357,1580.0,1.6751064806461382,1.0,0.05369412506774897,4.353577708195861e-06,20.248446440210788,0.036433439970016496,50.8438949584961,0.9846875667572025,-0.2567071914672852,1956487.75,16.155195236206055,0.0,0.05369412506774897,0.30000001192092896
