,ident,it,t,a(i),emegas(i),emepla(i)/emet,rplanet(i)/radtie,emestar,rc,qest,sigmag_0,emed,gama,apert,fpert,constmigI,emetal,taugas
32,3,199921,20000001.0,0.054095160815697374,2.209576464203776,8.98928937114855,  0.25159057825690501      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.30000001192092896,1.0,0.1,0.328145831823349,1644710.625
33,3,199921,20000001.0,0.09986623000543139,1124.1695143788431,1139.6525177650603,   3.7403504354256123      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.30000001192092896,1.0,0.1,0.328145831823349,1644710.625
34,3,199921,20000001.0,0.7869500246866163,1764.2385937477484,1769.7229955941934,   2.7042610393668101      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.30000001192092896,1.0,0.1,0.328145831823349,1644710.625
35,3,199921,20000001.0,6.048079159591056,0.04956099270791465,3.843496173356737,   2.3903341359234238      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.30000001192092896,1.0,0.1,0.328145831823349,1644710.625
36,3,199921,20000001.0,7.284161031308643,0.0,2.4880320163566627,   2.0783752256670658      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.30000001192092896,1.0,0.1,0.328145831823349,1644710.625
37,3,199921,20000001.0,8.033810085077926,0.0,0.7918450400533567,   1.4216667621312074      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.30000001192092896,1.0,0.1,0.328145831823349,1644710.625
38,3,199921,20000001.0,9.805498072655102,0.0,0.9841771738955084,   1.5291820065911270      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.30000001192092896,1.0,0.1,0.328145831823349,1644710.625
39,3,199921,20000001.0,10.786226187050259,0.0,0.11427498315262767,  0.74700900324794384      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.30000001192092896,1.0,0.1,0.328145831823349,1644710.625
40,3,199921,20000001.0,11.509067149140812,0.0,0.5167455862624436,   1.2351337937174893      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.30000001192092896,1.0,0.1,0.328145831823349,1644710.625
41,3,199921,20000001.0,12.375858586129654,0.0,0.22059985076804192,  0.93003405012823970      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.30000001192092896,1.0,0.1,0.328145831823349,1644710.625
42,3,199921,20000001.0,14.42860989794558,0.0,0.05947148551654265,  0.60125071114269613      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.30000001192092896,1.0,0.1,0.328145831823349,1644710.625
43,3,199921,20000001.0,15.293624653457318,0.0,0.06444682475424728,  0.61752456161919211      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.30000001192092896,1.0,0.1,0.328145831823349,1644710.625
53,5,199800,20000001.0,0.201542446957641,5.781729031348939e-11,0.07595540489094196,  0.20488031513266541      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.30000001192092896,1.0,0.1,-0.1501600593328476,1014449.0625
54,5,199800,20000001.0,0.3129788272370937,4.159530148882441,9.72922820934056,   1.0665033357622213      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.30000001192092896,1.0,0.1,-0.1501600593328476,1014449.0625
55,5,199800,20000001.0,2.374895451021048,0.7258270809216526,4.475241705784929,   2.3551383865787159      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.30000001192092896,1.0,0.1,-0.1501600593328476,1014449.0625
56,5,199800,20000001.0,3.627265149471071,1.0079049914225853,5.128615734498405,   2.4371089986658387      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.30000001192092896,1.0,0.1,-0.1501600593328476,1014449.0625
