,ident,it,t,a(i),emegas(i),emepla(i)/emet,rplanet(i)/radtie,emestar,rc,qest,sigmag_0,emed,gama,apert,fpert,constmigI,emetal,taugas
30,3,199939,20000001.0,0.3110873726455891,1956.4810679853788,1963.1255913768487,   2.8849950196206922      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.0,1.0,0.1,0.328145831823349,1644710.625
31,3,199939,20000001.0,2.080690574017455,2118.624882155252,2125.356911078003,   2.9054335043486477      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.0,1.0,0.1,0.328145831823349,1644710.625
32,3,199939,20000001.0,4.858601021015545,188.8762093530896,95.51094796144022,   3.3699420130159363      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.0,1.0,0.1,0.328145831823349,1644710.625
33,3,199939,20000001.0,6.53101777644517,1.069400702281408,6.245852822954497,   2.6471011117612648      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.0,1.0,0.1,0.328145831823349,1644710.625
34,3,199939,20000001.0,8.05718917981063,0.0,2.0835749384433537,   1.9611574336789916      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.0,1.0,0.1,0.328145831823349,1644710.625
35,3,199939,20000001.0,8.870423529651465,0.0,1.1739504974667163,   1.6214151709270630      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.0,1.0,0.1,0.328145831823349,1644710.625
36,3,199939,20000001.0,9.789714198985267,0.0,0.9074442786958004,   1.4888949769484552      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.0,1.0,0.1,0.328145831823349,1644710.625
37,3,199939,20000001.0,11.464136956918473,0.0,0.3846803993215809,   1.1193644217575369      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.0,1.0,0.1,0.328145831823349,1644710.625
38,3,199939,20000001.0,12.755716306370578,0.0,0.1397190320248731,  0.79892166750504123      ,1.7602272033691405e+33,29.539342880249023,8.421395301818846,90.79333656804815,0.056,1.0,0.0,1.0,0.1,0.328145831823349,1644710.625
47,5,199510,20000001.0,0.16456457954256906,5.781968554926905e-12,0.05202696192998543,  0.11799464787206114      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.0,1.0,0.1,-0.1501600593328476,1014449.0625
48,5,199510,20000001.0,0.631857694579217,1.3079401987209478,6.211305960715089,   1.5590918259496811      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.0,1.0,0.1,-0.1501600593328476,1014449.0625
49,5,199510,20000001.0,2.9859916523787216,0.08028178003798576,3.005031565652837,   2.1650935152864830      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.0,1.0,0.1,-0.1501600593328476,1014449.0625
50,5,199510,20000001.0,3.747924767029605,0.11903968557513005,3.364376272015422,   2.2468295788436543      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.0,1.0,0.1,-0.1501600593328476,1014449.0625
51,5,199510,20000001.0,5.909031937187489,0.0,0.9042103908279884,   1.4817733526479102      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.0,1.0,0.1,-0.1501600593328476,1014449.0625
52,5,199510,20000001.0,6.334410438537828,0.0,1.0572658021771966,   1.5618213100524687      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.0,1.0,0.1,-0.1501600593328476,1014449.0625
53,5,199510,20000001.0,6.834702919488849,0.0,0.6810641850433452,   1.3496954988892298      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.0,1.0,0.1,-0.1501600593328476,1014449.0625
54,5,199510,20000001.0,7.2798283243408575,0.0,0.4338939666162665,   1.1623161498469077      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.0,1.0,0.1,-0.1501600593328476,1014449.0625
55,5,199510,20000001.0,7.80500885173968,0.0,0.3489028833365365,   1.0815933772555879      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.0,1.0,0.1,-0.1501600593328476,1014449.0625
