,ident,com,nplanets,massbudget,massefficiency,sigmag0,md,rc,ms,metal,taugas,qest,ngi,mtr,apert
72,243.0,0.7830638927560334,1.0,1.5387924344520327,0.00011540943258390246,22.9363145663588,0.029580881595611574,49.67089462280274,0.7395220398902893,0.27768489718437195,1090800.125,11.379639625549315,0.0,1.5387924344520327,0.0
73,246.0,1.487267100015073,10.0,1.2063551375247779,7.700139175690071e-05,32.02726887242044,0.051333452343940725,45.5640983581543,1.0922011137008665,0.169122114777565,1693534.0,13.941476821899414,0.0,1.2063551375247779,0.0
74,248.0,1.8798453098058603,3.0,3.8089303240693653,0.00014649732015651406,41.47868775855977,0.08967038297653196,51.57848739624024,1.1496202945709226,0.13728898763656616,1561402.875,9.147107124328613,0.0,3.8089303240693653,0.0
75,249.0,0.7584217372972688,3.0,4.745887767756868,0.0001186471941939217,97.21934667021843,0.09013791561126709,41.78766250610352,0.7511492967605591,-0.1967595666646957,1050339.875,3.5717101097106934,0.0,4.745887767756868,0.0
76,262.0,1.4925277545178766,1.0,3.3393834405608107,8.348458601402027e-05,54.51963220278896,0.16670800209045405,55.8017692565918,1.389233350753784,-0.1136302649974823,7529766.5,7.4951386451721165,0.0,3.3393834405608107,0.0
77,263.0,2.570356002727387,11.0,1.4048031617907393,0.0001832351950161834,17.844212652208512,0.032087489128112795,42.70207977294922,1.395108222961426,0.20070610940456396,7242379.5,35.836917877197266,0.0,1.4048031617907393,0.0
78,275.0,1.4715237192416224,1.0,8.035242160815312,0.0003214096864326126,56.78866494993694,0.09750550389289853,43.22486114501953,1.3000733852386475,-0.21265089511871332,4754089.5,10.168166160583496,0.0,8.035242160815312,0.0
79,276.0,2.2003741109076755,9.0,3.674204584650992,0.00012816992737154625,62.14587340045551,0.10663830924034118,44.24629211425781,1.2399803400039673,-0.13838404417037964,2086532.75,8.608709335327147,0.0,3.674204584650992,0.0
80,289.0,1.8544802197539245,9.0,1.6827508204863018,0.0001231281088160709,28.88854916215309,0.047569983959197995,44.808753967285156,1.1602435111999512,0.279024213552475,2513458.5,16.688390731811527,0.0,1.6827508204863018,0.0
81,290.0,0.8439691725402266,1.0,0.4684777572042316,3.4278860283236466e-05,37.27571413821716,0.031322748720645895,39.4468879699707,0.7639694809913633,-0.3944597840309143,3725925.75,10.757294654846193,0.0,0.4684777572042316,0.0
82,293.0,2.4532332938945185,2.0,9.05504326112878,0.00024695572530351217,51.97341304032381,0.1440157425403595,54.71917343139648,1.3092340230941772,0.0736978203058243,2107424.25,7.134947776794434,0.0,9.05504326112878,0.0
83,295.0,2.9178029687727256,12.0,4.158621082510864,0.0002546094540312774,21.042412494862038,0.06705392372608185,57.39632415771485,1.3684474229812622,0.10385175049304962,5095653.0,17.554962158203125,0.0,4.158621082510864,0.0
84,296.0,1.8302340891027824,1.0,6433.609501335632,0.27972215223198393,61.9836541787926,0.0767476497888565,39.684394836425774,1.1122847795486448,0.2212882339954376,3272715.5,9.29145050048828,1.0,0.0,0.0
85,297.0,1.1998199500781483,9.0,0.9519819345444149,3.070909466272306e-05,22.113121768621895,0.092257378757,77.13478088378906,0.9920148253440861,0.15618014335632324,1064389.0,7.292759895324707,0.0,0.9519819345444149,0.0
86,300.0,2.2460065840108667,6.0,1.8650826889816954,5.595248066945086e-05,72.11617191388522,0.13541969060897827,44.291202545166016,1.3541969060897825,-0.01722282916307449,1074094.875,7.973488330841064,0.0,1.8650826889816954,0.0
87,304.0,0.6128633417564884,1.0,2.1234192375093133,9.800396480812215e-05,61.318686363527966,0.05401714444160462,38.72523498535156,0.8310329914093018,-0.10342949628829956,1180775.75,7.399733543395997,0.0,2.1234192375093133,0.0
88,305.0,1.9844131677020829,1.0,1851.6196046642685,0.034717867587455035,102.3185354108112,0.21534793853759765,47.0345115661621,1.3459246158599854,-0.061314616352319724,3405873.5,4.991944789886475,1.0,0.0,0.0
89,308.0,0.8251225646349306,1.0,0.6911408638225769,2.0943662540078087e-05,49.679696489951276,0.0697554389834404,53.09601593017578,0.7046003937721252,-0.19131252169609075,1157543.625,4.435819149017334,0.0,0.6911408638225769,0.0
90,310.0,0.4977808548390663,1.0,0.8613543346929666,3.639525357857606e-05,54.763246698378836,0.05594198131561278,42.82707214355469,0.7879152297973632,-0.16974389553070068,3097924.0,6.5619378089904785,0.0,0.8613543346929666,0.0
91,313.0,0.8091615242161626,1.0,0.7831130262444718,4.998593784539182e-05,22.215487797041956,0.03436617213487625,54.70849990844727,0.7311951518058777,-0.07450036704540253,5426492.0,9.770776748657225,0.0,0.7831130262444718,0.0
92,315.0,1.3026023315336268,3.0,7.847027894822043,0.0005008741209460879,34.579936084216364,0.046422207474708564,43.85010528564453,0.9877065420150758,0.3882571756839752,1452125.75,12.434638023376465,0.0,7.847027894822043,0.0
93,318.0,1.0429636155794213,1.0,0.06419840915233267,6.641214739896485e-06,42.74997274553159,0.02341734284162521,30.97882080078125,0.807494580745697,-0.0300474651157856,1935027.0,15.155702590942385,0.0,0.06419840915233267,0.0
94,320.0,1.3282093230701992,1.0,2.198533642393415,9.160556843305895e-05,125.67070093274792,0.06718280410766604,28.469709396362305,0.9330945014953616,-0.2283896207809448,7202665.5,6.894565582275392,0.0,2.198533642393415,0.0
95,322.0,0.743136256430929,1.0,0.8405569950668378,2.8655352104551295e-05,39.320539496551476,0.07133093643188476,56.26850891113281,0.8105788230895997,-0.27055585384368896,1937663.125,5.837296962738037,0.0,0.8405569950668378,0.0
96,323.0,0.9079038282347055,1.0,2.5579132039295964,0.00010657971683039985,59.77269738025648,0.06120680379867555,41.28084945678711,0.850094497203827,0.041019227355718606,1928905.375,6.915164470672607,0.0,2.5579132039295964,0.0
97,325.0,1.5583541704227877,1.0,2.9593889281014345,0.00010088825891254893,64.81999411657476,0.09932674503326414,43.824871063232415,1.1287130117416382,-0.07289610058069229,9017080.0,7.555498123168945,0.0,2.9593889281014345,0.0
98,327.0,0.9057035274808934,1.0,1.8646074727804811,5.950874913129195e-05,70.70573004725837,0.08165928733348847,43.36810302734375,0.8687158226966858,-0.3785292506217957,1793133.125,5.43600368499756,0.0,1.8646074727804811,0.0
99,332.0,1.2485846690922886,3.0,1.1111449980122163,8.772197352728024e-05,19.318436844211053,0.03332218706607819,52.75208282470703,0.8768996596336366,0.1806097328662873,2375485.25,14.346753120422365,0.0,1.1111449980122163,0.0
