,ident,it,t,a(i),emegas(i),emepla(i)/emet,rplanet(i)/radtie,emestar,rc,qest,sigmag_0,emed,gama,apert,fpert,constmigI,emetal,taugas
9,1,199958,20000001.0,1.4567241418932182,1.1684901453077907,5.7652716470503504,   2.5533917228537018      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.10000000149011612,1.0,0.1,-0.09279143065214156,3525593.5
10,1,199958,20000001.0,6.347471692811201,0.0,2.7270497828912803,   2.1474682347471652      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.10000000149011612,1.0,0.1,-0.09279143065214156,3525593.5
11,1,199958,20000001.0,9.3441472124506,0.0,1.7950878980810083,   1.8695427619840024      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.10000000149011612,1.0,0.1,-0.09279143065214156,3525593.5
12,1,199958,20000001.0,11.496094027515635,0.0,0.9827215648993624,   1.5298948349423307      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.10000000149011612,1.0,0.1,-0.09279143065214156,3525593.5
13,1,199958,20000001.0,13.866091886997184,0.0,0.7149065606335715,   1.3768191954003621      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.10000000149011612,1.0,0.1,-0.09279143065214156,3525593.5
14,1,199958,20000001.0,15.739540024601428,0.0,0.4732736041726213,   1.2001601138381757      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.10000000149011612,1.0,0.1,-0.09279143065214156,3525593.5
15,1,199958,20000001.0,16.736743355127143,0.0,0.1191192642153846,  0.75792412332673431      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.10000000149011612,1.0,0.1,-0.09279143065214156,3525593.5
16,1,199958,20000001.0,17.94891503090568,0.0,0.09045158099957792,  0.69153836085762199      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.10000000149011612,1.0,0.1,-0.09279143065214156,3525593.5
17,1,199958,20000001.0,18.717971787798867,0.0,0.07520669563034318,  0.65031927350521090      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.10000000149011612,1.0,0.1,-0.09279143065214156,3525593.5
18,1,199958,20000001.0,20.52428480829413,0.0,0.066417701188139,  0.62395033206259576      ,1.4253864288330078e+33,40.04019546508789,2.2818715572357178,158.83555924139276,0.18,1.0,0.10000000149011612,1.0,0.1,-0.09279143065214156,3525593.5
